City;Area;Region;Branch;Branch Mapping;Validation
KOTA PEMATANG SIANTAR;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
KOTA PONTIANAK;AREA 4;11.KALIMANTAN;PONTIANAK;PONTIANAK;TRUE
KOTA PRABUMULIH;AREA 1;03.SUMBAGSEL;PALEMBANG;PALEMBANG;TRUE
KOTA PROBOLINGGO;AREA 3;09.JATIM;JEMBER;JEMBER;TRUE
KOTA SABANG;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
KOTA SALATIGA;AREA 3;08.JATENG-DIY;SEMARANG;SEMARANG;TRUE
KOTA SAMARINDA;AREA 4;11.KALIMANTAN;SAMARINDA;SAMARINDA;TRUE
KOTA SAWAH LUNTO;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
KOTA SEMARANG;AREA 3;08.JATENG-DIY;SEMARANG;SEMARANG;TRUE
KOTA SERANG;AREA 2;05.WESTERN JABOTABEK;SERANG;SERANG;TRUE
KOTA SIBOLGA;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
KOTA SINGKAWANG;AREA 4;11.KALIMANTAN;PONTIANAK;PONTIANAK;TRUE
KOTA SOLOK;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
KOTA SORONG;AREA 4;13.MALUKU DAN PAPUA;;SORONG;FALSE
KOTA SORONG;AREA 4;13.MALUKU DAN PAPUA;SORONG;SORONG;TRUE
KOTA SUBULUSSALAM;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
KOTA SUKABUMI;AREA 2;06.EASTERN JABOTABEK;BOGOR;BOGOR;TRUE
KOTA SUNGAI PENUH;AREA 1;03.SUMBAGSEL;JAMBI;JAMBI;TRUE
KOTA SURABAYA;AREA 3;09.JATIM;SURABAYA;SURABAYA;TRUE
KOTA SURAKARTA;AREA 3;08.JATENG-DIY;SURAKARTA;SURAKARTA;TRUE
KOTA TANGERANG;AREA 2;05.WESTERN JABOTABEK;TANGERANG;TANGERANG;TRUE
