id;AREA;REGIONAL;BRANCH;CLUSTER;CITY
523;JAWA - BALI - NUSRA;BALI NUSRA;DENPASAR;BALI TIMUR;BANGLI
524;JAWA - BALI - NUSRA;BALI NUSRA;MATARAM;MATARAM;LOMBOK TIMUR
525;JAWA - BALI - NUSRA;JATIM;MALANG;MALANG;KOTA BATU
526;JAWA - BALI - NUSRA;JATENG-DIY;YOGYAKARTA;YOGYAKARTA;GUNUNG KIDUL
527;JAWA - BALI - NUSRA;JATENG-DIY;YOGYAKARTA;MAGELANG;KOTA MAGELANG
528;JAWA - BALI - NUSRA;BALI NUSRA;DENPASAR;BALI TIMUR;GIANYAR
529;JAWA - BALI - NUSRA;BALI NUSRA;DENPASAR;BALI TIMUR;KLUNGKUNG
530;JAWA - BALI - NUSRA;JATIM;MADIUN;MANDIRI;KOTA MADIUN
531;JAWA - BALI - NUSRA;JATIM;JEMBER;KOTA PROBOLINGGO;KOTA PROBOLINGGO
532;JAWA - BALI - NUSRA;JATIM;SIDOARJO;KOTA PASURUAN;KOTA PASURUAN
533;JAWA - BALI - NUSRA;BALI NUSRA;DENPASAR;BALI BARAT;BADUNG
534;JAWA - BALI - NUSRA;JATIM;SIDOARJO;NEW SIDOARJO;KOTA MOJOKERTO
535;JAWA - BALI - NUSRA;JATENG-DIY;YOGYAKARTA;YOGYAKARTA;BANTUL
536;SUMATERA;SUMBAGTENG;DUMAI;ROKAN HULU;S I A K
537;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;ASAHAN;ROKAN HILIR
538;JABOTABEK & JABAR;CENTRAL JABOTABEK;JAKARTA RAYA;NEW JAKBAR;JAKARTA PUSAT
539;JABOTABEK & JABAR;EASTERN JABOTABEK;KARAWANG;BEKASI UTARA;KOTA BEKASI
540;SUMATERA;SUMBAGUT;CENTRAL MEDAN;SERDANG;KOTA MEDAN
541;JABOTABEK & JABAR;CENTRAL JABOTABEK;JAKARTA RAYA;JAKTIM 2;JAKARTA SELATAN
542;SUMATERA;SUMBAGTENG;PEKANBARU;GREATER PEKANBARU;KAMPAR
543;PAMASUKA;MALUKU DAN PAPUA;AMBON;AMBON NAMLEA;MALUKU TENGAH
544;SUMATERA;SUMBAGTENG;PADANG;BUKIT TINGGI;PASAMAN BARAT
545;JABOTABEK & JABAR;CENTRAL JABOTABEK;JAKARTA RAYA;NEW JAKUT;KEPULAUAN SERIBU
546;JABOTABEK & JABAR;CENTRAL JABOTABEK;JAKARTA RAYA;JAKTIM 1;JAKARTA PUSAT
